Source_File,Region,Zone,Feeder_Code,Substation_Code,Substation,Feeder,Timestamp,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,Active_Load_MW
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:06:00,74.9,82.7,79.7,10.9,10.9,10.8,1.53
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:09:00,81.9,88.2,85.6,10.9,10.9,10.8,1.61
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:12:00,81.9,88.2,85.6,10.9,10.9,10.9,1.65
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:15:00,78.5,84.0,81.5,10.9,10.9,10.9,1.5
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:18:00,78.5,84.0,81.5,10.9,10.9,10.9,1.57
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:21:00,74.0,79.9,77.3,10.9,10.9,10.9,1.51
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:24:00,75.1,81.1,77.6,10.9,10.9,10.9,1.47
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:27:00,75.1,81.1,77.6,10.8,10.8,10.8,1.51
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:30:00,77.5,84.1,80.1,10.8,10.9,10.8,1.5
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:33:00,77.5,84.1,80.1,10.9,10.9,10.8,1.4
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:36:00,83.4,88.9,85.7,10.8,10.8,10.8,1.45
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:39:00,73.5,79.2,77.2,10.9,10.9,10.8,1.34
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:42:00,73.5,79.2,77.2,10.9,10.9,10.9,1.46
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:45:00,69.4,74.5,72.2,10.9,10.9,10.9,1.39
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:48:00,69.4,74.5,72.2,10.9,10.9,10.9,1.46
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:51:00,74.1,79.3,76.9,10.9,10.9,10.9,1.43
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:54:00,76.1,83.5,80.1,10.9,10.9,10.9,1.58
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 01:57:00,76.1,83.5,80.1,10.9,10.9,10.9,1.52
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:00:00,75.2,81.5,78.3,10.9,10.9,10.9,1.52
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:03:00,75.2,81.5,78.3,10.9,10.9,10.9,1.46
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:06:00,86.3,92.7,91.2,10.9,11.0,10.9,1.43
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:09:00,70.4,76.2,73.5,10.9,10.9,10.9,1.37
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:12:00,70.4,76.2,73.5,10.9,10.9,10.9,1.46
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:15:00,76.7,83.4,80.1,10.9,10.9,10.9,1.44
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:18:00,76.7,83.4,80.1,10.9,10.9,10.9,1.54
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:21:00,74.1,80.5,76.9,10.9,10.9,10.9,1.56
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:24:00,75.7,81.6,79.4,10.9,11.0,10.9,1.46
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:27:00,75.7,81.6,79.4,11.0,11.0,10.9,1.53
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:30:00,75.5,82.0,78.7,11.0,11.0,11.0,1.5
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:33:00,75.5,82.0,78.7,11.0,10.9,11.0,1.45
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:36:00,77.4,82.9,80.3,10.9,10.9,10.9,1.46
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:39:00,71.1,76.8,74.5,11.0,11.0,10.9,1.52
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:42:00,71.1,76.8,74.5,11.0,10.9,10.9,1.42
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:45:00,79.9,81.0,80.1,11.0,11.0,10.9,1.4
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:48:00,79.9,81.0,80.1,11.0,11.0,10.9,1.54
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:51:00,85.7,86.5,86.6,11.0,11.0,10.9,1.44
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:54:00,78.2,79.8,78.3,11.0,11.0,11.0,1.55
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 02:57:00,78.2,79.8,78.3,11.0,11.0,11.0,1.45
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:00:00,85.3,87.1,86.3,11.0,11.0,11.0,1.45
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:03:00,85.3,87.1,86.3,11.0,11.0,11.0,1.5
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:06:00,80.0,83.8,82.5,11.0,11.0,11.0,1.44
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:09:00,79.0,79.9,79.1,11.0,11.0,11.0,1.42
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:12:00,79.0,79.9,79.1,11.0,11.0,11.0,1.43
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:15:00,73.8,75.1,74.8,11.0,11.0,11.0,1.52
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:18:00,73.8,75.1,74.8,11.0,11.0,11.0,1.46
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:21:00,79.4,81.5,81.0,11.0,11.0,11.0,1.55
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:24:00,84.4,86.3,84.7,11.0,11.0,11.0,1.61
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:27:00,84.4,86.3,84.7,11.0,11.0,11.0,1.49
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:30:00,79.0,78.5,78.0,11.0,11.0,11.0,1.45
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:33:00,79.0,78.5,78.0,11.0,11.0,11.0,1.53
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:36:00,73.6,75.8,75.3,11.0,11.0,11.0,1.5
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:39:00,72.8,76.0,74.8,11.0,11.0,11.0,1.42
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:42:00,72.8,76.0,74.8,11.0,11.0,11.0,1.51
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:45:00,82.1,85.5,83.8,11.0,11.0,11.0,1.47
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:48:00,82.1,85.5,83.8,11.0,11.0,11.0,1.62
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:51:00,79.5,81.3,79.4,11.0,11.0,11.0,1.47
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:54:00,77.1,78.8,77.8,11.1,11.1,11.0,1.61
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 03:57:00,77.1,78.8,77.8,11.0,11.0,11.0,1.64
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:00:00,83.8,86.4,86.5,11.1,11.1,11.0,1.58
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:03:00,83.8,86.4,86.5,11.0,11.0,11.0,1.45
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:06:00,77.3,79.5,78.4,11.0,11.0,11.0,1.51
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:09:00,83.6,84.8,84.5,11.0,11.0,11.0,1.52
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:12:00,83.6,84.8,84.5,11.0,11.0,11.0,1.58
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:15:00,77.7,80.0,78.4,11.0,11.0,11.0,1.53
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:18:00,77.7,80.0,78.4,11.0,11.0,11.0,1.48
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:21:00,78.7,79.5,80.1,11.0,11.0,11.0,1.47
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:24:00,75.9,77.7,76.3,11.0,11.0,11.0,1.4
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:27:00,75.9,77.7,76.3,11.1,11.1,11.1,1.45
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:30:00,77.0,81.0,79.2,11.0,11.0,11.0,1.53
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:33:00,77.0,81.0,79.2,11.0,11.0,11.0,1.51
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:36:00,71.4,75.3,74.1,11.0,11.0,11.0,1.49
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:39:00,73.0,74.7,74.8,11.0,11.0,11.0,1.53
data.csv,PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,2026-11-05 04:42:00,73.0,74.7,74.8,11.0,11.0,11.0,1.4
